role_name,keywords,certifications,experience_level,description,salary_range,required_skills
Frontend Developer,"html,css,javascript,typescript,react,vue,angular,svelte,next.js,webpack,sass,tailwind,frontend,ui/ux","AWS Certified Developer,Google Mobile Web Specialist,Meta Front-End Developer",junior-senior,"Builds user-facing web applications with modern frameworks and responsive design","60k-150k","JavaScript/TypeScript, React/Vue/Angular, HTML5/CSS3, REST APIs, Git"
Backend Developer,"node.js,express,django,flask,fastapi,spring boot,asp.net,laravel,ruby on rails,graphql,rest api,microservices,backend","AWS Certified Developer,Oracle Certified Professional,Microsoft Certified: Azure Developer",junior-senior,"Develops server-side logic, APIs, and database integrations","70k-160k","Python/Java/Node.js, REST/GraphQL APIs, SQL/NoSQL, Docker, Microservices"
Full Stack Developer,"full stack,mern,mean,react,node.js,express,mongodb,postgresql,typescript","AWS Certified Solutions Architect,Full Stack Web Development Certification",mid-senior,"Handles both frontend and backend development across the entire stack","80k-170k","Frontend frameworks, Backend APIs, Databases, DevOps basics, System design"
Mobile Developer,"android,ios,swift,kotlin,react native,flutter,mobile app,xamarin","Google Associate Android Developer,Apple Certified iOS Developer",junior-senior,"Creates native or cross-platform mobile applications for iOS and Android","70k-160k","Swift/Kotlin, React Native/Flutter, Mobile UI/UX, App Store deployment, REST APIs"
Machine Learning Engineer,"machine learning,deep learning,tensorflow,pytorch,keras,model deployment,ml pipeline,mlops","AWS Certified Machine Learning,TensorFlow Developer Certificate,Google Cloud ML Engineer",mid-senior,"Designs and deploys machine learning models into production systems","100k-200k","Python, TensorFlow/PyTorch, ML algorithms, Model deployment, MLOps, Cloud platforms"
Data Scientist,"data science,statistics,pandas,numpy,data analysis,hypothesis testing,a/b testing,tableau,power bi","Certified Analytics Professional,Google Data Analytics Certificate,IBM Data Science",junior-senior,"Analyzes complex data to extract insights and build predictive models","80k-180k","Python/R, Statistics, SQL, pandas/numpy, Data visualization, Machine learning"
Data Engineer,"etl,data pipeline,airflow,spark,hadoop,data warehouse,snowflake,redshift,bigquery","AWS Certified Data Analytics,Google Cloud Data Engineer,Databricks Certified",mid-senior,"Builds and maintains data pipelines and infrastructure for analytics","90k-180k","ETL tools, Apache Spark/Airflow, SQL, Data warehousing, Cloud platforms, Python"
DevOps Engineer,"devops,ci/cd,jenkins,gitlab ci,github actions,kubernetes,docker,terraform,ansible,prometheus,grafana","AWS Certified DevOps Engineer,Kubernetes Administrator,Docker Certified Associate",mid-senior,"Automates deployment pipelines and manages infrastructure as code","90k-170k","CI/CD, Docker/Kubernetes, Terraform/Ansible, Cloud platforms, Linux, Scripting"
Cloud Architect,"cloud architect,aws solutions,azure architect,multi-cloud,cloud migration,infrastructure design","AWS Solutions Architect Professional,Azure Solutions Architect Expert,Google Cloud Architect",senior,"Designs scalable cloud infrastructure and migration strategies","120k-220k","AWS/Azure/GCP, Architecture design, Security, Cost optimization, Multi-cloud"
Site Reliability Engineer,"site reliability,sre,monitoring,incident response,on-call,reliability engineering,prometheus,grafana","AWS Certified SysOps Administrator,Certified Kubernetes Administrator,Google Cloud SRE",mid-senior,"Ensures system reliability, performance, and incident management","100k-190k","Monitoring tools, Kubernetes, Incident response, Automation, Cloud platforms, Linux"
Security Engineer,"cybersecurity,penetration testing,security engineer,vulnerability,owasp,security audit,ethical hacking","CISSP,CEH,CompTIA Security+,OSCP,GIAC Security Essentials",mid-senior,"Protects systems from security threats and conducts vulnerability assessments","90k-180k","Network security, Penetration testing, OWASP, Security tools, Compliance, Linux"
Blockchain Developer,"blockchain,solidity,web3,ethereum,smart contract,cryptocurrency,defi","Certified Blockchain Developer,Ethereum Developer Certification,Hyperledger Certified",mid-senior,"Develops decentralized applications and smart contracts on blockchain platforms","100k-200k","Solidity, Web3.js, Smart contracts, Blockchain protocols, Cryptography"
QA Engineer,"qa,quality assurance,selenium,test automation,cypress,jest,unit testing,integration testing","ISTQB Certified Tester,Certified Selenium Professional,Automation Testing Certification",junior-senior,"Designs and executes automated tests to ensure software quality","60k-130k","Test automation, Selenium/Cypress, Testing frameworks, CI/CD, Scripting, Agile"
Product Manager,"product manager,product owner,roadmap,stakeholder,agile,scrum master,product strategy","Certified Scrum Product Owner,Product Management Certificate,Pragmatic Marketing",mid-senior,"Defines product vision, roadmap, and works with cross-functional teams","90k-180k","Product strategy, Agile/Scrum, Stakeholder management, Market analysis, User research"
UI/UX Designer,"ui/ux,user experience,figma,sketch,adobe xd,wireframe,prototyping,user research","Google UX Design Certificate,Adobe Certified Expert,Interaction Design Foundation",junior-senior,"Designs user interfaces and experiences through research and prototyping","60k-140k","Figma/Sketch, User research, Wireframing, Prototyping, Design systems, HTML/CSS basics"
Database Administrator,"database administrator,dba,mysql,postgresql,oracle,sql server,database optimization,query tuning","Oracle Certified Professional DBA,Microsoft Certified: Azure Database Administrator,MongoDB Certified DBA",mid-senior,"Manages and optimizes database systems for performance and reliability","70k-150k","SQL, Database administration, Performance tuning, Backup/Recovery, Security, Monitoring"
Embedded Systems Engineer,"embedded systems,firmware,iot,raspberry pi,arduino,c++,rtos,embedded c","Certified Embedded Systems Engineer,ARM Accredited Engineer,IoT Certification",mid-senior,"Develops firmware and software for embedded hardware systems","80k-160k","C/C++, Embedded C, RTOS, Hardware interfaces, Microcontrollers, Debugging"
Game Developer,"game developer,unity,unreal engine,game design,3d modeling,shader","Unity Certified Developer,Unreal Engine Certification,Autodesk Maya Certified",junior-senior,"Creates interactive games and game engines using Unity or Unreal","70k-150k","Unity/Unreal Engine, C#/C++, Game design, 3D graphics, Physics, AI programming"
